Date,Open,Day High,Day Low,Close,Volume,
4/30/2014,1877.1,1872.69,1885.2,1883.95,6.29E+11,
5/1/2014,1884.39,1878.04,1888.59,1883.68,4.68E+11,
5/2/2014,1885.3,1878.5,1891.33,1881.14,4.64E+11,
5/5/2014,1879.45,1866.77,1885.51,1884.66,4.18E+11,
5/6/2014,1883.69,1867.72,1883.69,1867.72,4.74E+11,
5/7/2014,1868.53,1859.79,1878.83,1878.21,5.64E+11,
5/8/2014,1877.39,1870.05,1889.07,1875.63,4.89E+11,
5/9/2014,1875.27,1867.02,1878.57,1878.48,4.74E+11,
5/12/2014,1880.03,1880.03,1897.13,1896.65,4.49E+11,
5/13/2014,1896.75,1896.06,1902.17,1897.45,4.18E+11,
5/14/2014,1897.13,1885.77,1897.13,1888.53,4.22E+11,
5/15/2014,1888.16,1862.36,1888.16,1870.85,5.47E+11,
5/16/2014,1871.19,1864.82,1878.28,1877.86,6.24E+11,
5/19/2014,1876.66,1872.42,1886,1885.08,4.33E+11,
5/20/2014,1884.88,1868.14,1884.88,1872.83,4.35E+11,
5/21/2014,1873.34,1873.34,1888.8,1888.03,4.11E+11,
5/22/2014,1888.19,1885.39,1896.33,1892.49,3.86E+11,
5/23/2014,1893.32,1893.32,1901.26,1900.53,3.73E+11,
5/27/2014,1902.01,1902.01,1912.28,1911.91,4.70E+11,
5/28/2014,1911.77,1907.3,1914.46,1909.78,4.09E+11,
5/29/2014,1910.6,1909.82,1920.03,1920.03,3.72E+11,
5/30/2014,1920.33,1916.64,1924.03,1923.57,6.00E+11,
6/2/2014,1923.87,1915.98,1925.88,1924.97,3.77E+11,
6/3/2014,1923.07,1918.79,1925.07,1924.24,4.15E+11,
6/4/2014,1923.06,1918.6,1928.63,1927.88,4.04E+11,
6/5/2014,1928.52,1922.93,1941.74,1940.46,4.31E+11,
6/6/2014,1942.41,1942.41,1949.44,1949.44,4.45E+11,
6/9/2014,1948.97,1947.16,1955.55,1951.27,4.22E+11,
6/10/2014,1950.34,1944.64,1950.86,1950.79,4.06E+11,
6/11/2014,1949.37,1940.08,1949.37,1943.89,3.87E+11,
6/12/2014,1943.35,1925.78,1943.35,1930.11,4.60E+11,
6/13/2014,1930.8,1927.69,1937.3,1936.16,4.45E+11,
6/16/2014,1934.84,1930.91,1941.15,1937.78,4.37E+11,
6/17/2014,1937.15,1933.55,1943.69,1941.99,4.06E+11,
6/18/2014,1942.73,1939.29,1957.74,1956.98,4.36E+11,
6/19/2014,1957.5,1952.26,1959.87,1959.48,4.76E+11,
6/20/2014,1960.45,1959.17,1963.91,1962.87,1.21E+12,
6/23/2014,1962.92,1958.89,1963.74,1962.61,4.12E+11,
6/24/2014,1961.97,1948.34,1968.17,1949.98,4.82E+11,
6/25/2014,1949.27,1947.49,1960.83,1959.53,4.55E+11,
6/26/2014,1959.89,1944.69,1959.89,1957.22,4.05E+11,
6/27/2014,1956.56,1952.18,1961.47,1960.96,7.37E+11,
6/30/2014,1960.79,1958.22,1964.24,1960.23,5.27E+11,
7/1/2014,1962.29,1962.29,1978.58,1973.32,4.39E+11,
7/2/2014,1973.06,1972.58,1976.67,1974.62,3.86E+11,
7/3/2014,1975.88,1975.88,1985.59,1985.44,3.67E+11,
7/7/2014,1984.22,1974.88,1984.22,1977.65,3.99E+11,
7/8/2014,1976.39,1959.46,1976.39,1963.71,4.83E+11,
7/9/2014,1965.1,1965.1,1974.15,1972.83,4.15E+11,
7/10/2014,1966.67,1952.86,1969.84,1964.68,4.17E+11,
7/11/2014,1965.76,1959.63,1968.67,1967.57,3.76E+11,
7/14/2014,1969.86,1969.86,1979.85,1977.1,3.98E+11,
7/15/2014,1977.36,1965.34,1982.52,1973.28,5.45E+11,
7/16/2014,1976.35,1975.67,1983.94,1981.57,5.18E+11,
7/17/2014,1979.75,1955.59,1981.8,1958.12,5.42E+11,
7/18/2014,1961.54,1960.82,1979.91,1978.22,5.83E+11,
7/21/2014,1976.93,1965.77,1976.93,1973.63,3.97E+11,
7/22/2014,1975.65,1975.65,1986.24,1983.53,4.26E+11,
7/23/2014,1985.32,1982.44,1989.23,1987.01,4.68E+11,
7/24/2014,1988.07,1985.79,1991.39,1987.98,4.72E+11,
7/25/2014,1984.6,1974.37,1984.6,1978.34,4.15E+11,
7/28/2014,1978.25,1967.31,1981.52,1978.91,4.36E+11,
7/29/2014,1980.03,1969.95,1984.85,1969.95,4.93E+11,
7/30/2014,1973.21,1962.42,1978.9,1970.07,4.77E+11,
7/31/2014,1965.14,1930.67,1965.14,1930.67,6.24E+11,
8/1/2014,1929.8,1916.37,1937.35,1925.15,5.19E+11,
8/4/2014,1926.62,1921.2,1942.92,1938.99,4.69E+11,
8/5/2014,1936.34,1913.77,1936.34,1920.21,5.01E+11,
8/6/2014,1917.29,1911.45,1927.91,1920.24,4.88E+11,
8/7/2014,1923.03,1904.78,1928.89,1909.57,4.74E+11,
8/8/2014,1910.35,1909.01,1932.38,1931.59,4.56E+11,
8/11/2014,1933.43,1933.43,1944.9,1936.92,3.99E+11,
8/12/2014,1935.73,1928.29,1939.65,1933.75,3.52E+11,
8/13/2014,1935.6,1935.6,1948.41,1946.72,3.68E+11,
8/14/2014,1947.41,1947.41,1955.23,1955.18,3.22E+11,
8/15/2014,1958.87,1941.5,1964.04,1955.06,6.00E+11,
